dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.817536,18.839522,26.394074,7.449296,-13.389801,12.107795,5.875038
0.020000,21.949665,18.783021,26.537777,7.185114,-13.209115,9.034288,5.883599
0.020000,22.077506,18.729815,26.676247,6.923535,-13.078951,6.508179,5.894450
0.020000,22.201154,18.680083,26.809522,6.663738,-12.989854,4.454859,5.907560
0.020000,22.320673,18.633975,26.937627,6.405225,-12.925642,3.210598,5.922908
0.020000,22.436097,18.591614,27.060578,6.147588,-12.881842,2.189992,5.940477
0.020000,22.547437,18.553094,27.178394,5.890777,-12.840555,2.064379,5.960253
0.020000,22.654689,18.518477,27.291093,5.634977,-12.789977,2.528865,5.982219
0.020000,22.757834,18.487789,27.398707,5.380680,-12.714851,3.756334,6.006350
0.020000,22.856853,18.461025,27.501280,5.128630,-12.602500,5.617562,6.032604
0.020000,22.951731,18.438137,27.598879,4.879969,-12.433071,8.471449,6.060924
0.020000,23.042466,18.419044,27.691601,4.636112,-12.192851,12.010994,6.091226
0.020000,23.129079,18.403626,27.779576,4.398745,-11.868328,16.226145,6.123398
0.020000,23.211623,18.391730,27.862973,4.169819,-11.446325,21.100156,6.157292
0.020000,23.290186,18.383176,27.942000,3.951354,-10.923257,26.153375,6.192727
0.020000,23.364898,18.377762,28.016908,3.745423,-10.296526,31.336577,6.229484
0.020000,23.435933,18.375272,28.087987,3.553922,-9.575044,36.074067,6.267313
0.020000,23.503502,18.375490,28.155555,3.378444,-8.773893,40.057567,0.022750
0.020000,23.567847,18.378203,28.219958,3.220125,-7.915955,42.896872,0.061867
0.020000,23.629234,18.383209,28.281548,3.079517,-7.030433,44.276116,0.101172
0.020000,23.687934,18.390327,28.340679,2.956539,-6.148908,44.076276,0.140356
0.020000,23.744218,18.399391,28.397688,2.850428,-5.305530,42.168881,0.179127
0.020000,23.798336,18.410257,28.452886,2.759926,-4.525082,39.022395,0.217214
0.020000,23.850516,18.422794,28.506551,2.683231,-3.834772,34.515495,0.254376
0.020000,23.900950,18.436884,28.558916,2.618261,-3.248491,29.314059,0.290410
0.020000,23.949796,18.452414,28.610171,2.562753,-2.775389,23.655084,0.325152
0.020000,23.997173,18.469274,28.660459,2.514414,-2.416978,17.920579,0.358474
0.020000,24.043172,18.487352,28.709883,2.471167,-2.162315,12.733146,0.390291
0.020000,24.087849,18.506532,28.758503,2.431009,-2.007899,7.720783,0.420548
0.020000,24.131238,18.526693,28.806347,2.392214,-1.939757,3.407089,0.449220
0.020000,24.173354,18.547710,28.853416,2.353461,-1.937686,0.103576,0.476310
0.020000,24.214197,18.569451,28.899685,2.313437,-2.001187,-3.175036,0.501835
0.020000,24.253759,18.591784,28.945115,2.271501,-2.096799,-4.780610,0.525834
0.020000,24.292021,18.614573,28.989649,2.226719,-2.239105,-7.115323,0.548351
0.020000,24.328965,18.637682,29.033226,2.178828,-2.394537,-7.771597,0.569442
0.020000,24.364572,18.660979,29.075777,2.127568,-2.563008,-8.423563,0.589167
0.020000,24.398821,18.684332,29.117230,2.072653,-2.745727,-9.135950,0.607589
0.020000,24.431694,18.707614,29.157513,2.014121,-2.926611,-9.044175,0.624769
0.020000,24.463175,18.730703,29.196553,1.952024,-3.104838,-8.911343,0.640771
0.020000,24.493249,18.753483,29.234281,1.886402,-3.281137,-8.814958,0.655656
0.020000,24.521908,18.775845,29.270632,1.817533,-3.443451,-8.115710,0.669482
0.020000,24.549137,18.797682,29.305536,1.745188,-3.617243,-8.689579,0.682303
0.020000,24.574936,18.818900,29.338939,1.670155,-3.751655,-6.720601,0.694173
0.020000,24.599297,18.839406,29.370782,1.592151,-3.900173,-7.425900,0.705141
0.020000,24.622219,18.859117,29.401014,1.511591,-4.028010,-6.391852,0.715252
0.020000,24.643701,18.877955,29.429585,1.428577,-4.150697,-6.134376,0.724548
0.020000,24.663744,18.895849,29.456453,1.343409,-4.258400,-5.385151,0.733067
0.020000,24.682346,18.912732,29.481575,1.256087,-4.366122,-5.386064,0.740844
0.020000,24.699513,18.928545,29.504915,1.166991,-4.454758,-4.431818,0.747913
0.020000,24.715248,18.943236,29.526442,1.076348,-4.532182,-3.871176,0.754302
0.020000,24.729551,18.956755,29.546123,0.984051,-4.614814,-4.131645,0.760036
0.020000,24.742428,18.969057,29.563932,0.890444,-4.680365,-3.277520,0.765139
0.020000,24.753880,18.980104,29.579843,0.795576,-4.743385,-3.151006,0.769632
0.020000,24.763913,18.989863,29.593840,0.699819,-4.787874,-2.224446,0.773532
0.020000,24.772529,18.998305,29.605902,0.603131,-4.834416,-2.327116,0.776855
0.020000,24.779731,19.005406,29.616016,0.505703,-4.871392,-1.848772,0.779615
0.020000,24.785522,19.011143,29.624168,0.407578,-4.906233,-1.742076,0.781823
0.020000,24.789905,19.015501,29.630349,0.309055,-4.926162,-0.996434,0.783486
0.020000,24.792879,19.018468,29.634550,0.210038,-4.950847,-1.234271,0.784611
0.020000,24.794449,19.020036,29.636769,0.110937,-4.955044,-0.209822,0.785204
0.020000,24.794923,19.020510,29.637439,0.033513,-3.871222,54.191091,0.785383
0.020000,24.794964,19.020550,29.637496,0.002880,-1.531632,116.979470,0.785398
0.020000,24.794964,19.020550,29.637496,0.000000,-0.144002,69.381533,0.785398
