dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.876461,12.111686,14.145483,8.084180,-8.318670,-18.409615,1.152740
0.020000,11.943273,12.255131,14.303724,7.912068,-8.605570,-14.344966,1.116435
0.020000,12.013859,12.392822,14.458454,7.736488,-8.779022,-8.672641,1.077079
0.020000,12.088286,12.524457,14.609672,7.560921,-8.778340,0.034108,1.034670
0.020000,12.166604,12.649797,14.757469,7.389836,-8.554267,11.203650,0.989287
0.020000,12.248867,12.768686,14.902044,7.228733,-8.055150,24.955853,0.941104
0.020000,12.335145,12.881063,15.043722,7.083892,-7.242028,40.656109,0.890403
0.020000,12.425544,12.986966,15.182959,6.961892,-6.100019,57.100435,0.837580
0.020000,12.520214,13.086517,15.320338,6.868923,-4.648469,72.577534,0.783142
0.020000,12.619357,13.179902,15.456537,6.809954,-2.948410,85.002914,0.727679
0.020000,12.723214,13.267337,15.592299,6.788077,-1.093879,92.726566,0.671836
0.020000,12.832041,13.349038,15.728381,6.804111,0.801697,94.778799,0.616269
0.020000,12.946069,13.425187,15.865497,6.855828,2.585879,89.209080,0.561605
0.020000,13.065482,13.495925,16.004290,6.939614,4.189306,80.171399,0.508395
0.020000,13.190378,13.561344,16.145282,7.049605,5.499524,65.510856,0.457097
0.020000,13.320754,13.621500,16.288867,7.179258,6.482663,49.156959,0.408055
0.020000,13.488870,13.690676,16.470658,9.089581,95.516146,4451.674162,0.397395
0.020000,13.732081,13.801237,16.737820,13.358080,213.424967,5895.441036,0.455830
0.020000,13.967124,13.924947,17.003431,13.280540,-3.877035,-10865.100073,0.512914
0.020000,14.192580,14.060235,17.266363,13.146626,-6.695699,-140.933205,0.567667
0.020000,14.407480,14.205270,17.525626,12.963136,-9.174498,-123.939949,0.619225
0.020000,14.611343,14.358113,17.780423,12.739836,-11.164997,-99.524944,0.666895
0.020000,14.804147,14.516866,18.030174,12.487567,-12.613428,-72.421572,0.710174
0.020000,14.986254,14.679766,18.274508,12.216692,-13.543788,-46.517975,0.748738
0.020000,15.158309,14.845247,18.513228,11.935980,-14.035552,-24.588222,0.782417
0.020000,15.321148,15.011956,18.746270,11.652101,-14.193984,-7.921593,0.811157
0.020000,15.475709,15.178742,18.973660,11.369534,-14.128321,3.283145,0.834979
0.020000,15.622964,15.344629,19.195477,11.090811,-13.936147,9.608696,0.853953
0.020000,15.763878,15.508779,19.411814,10.816899,-13.695609,12.026913,0.868161
0.020000,15.899373,15.670462,19.622766,10.547554,-13.467250,11.417930,0.877685
0.020000,16.030313,15.829019,19.828400,10.281727,-13.291353,8.794883,0.882584
0.020000,16.157488,15.983839,20.028757,10.017838,-13.194472,4.844040,0.882895
0.020000,16.281611,16.134339,20.223838,9.754058,-13.188964,0.275400,0.878618
0.020000,16.403315,16.279945,20.413609,9.488542,-13.275839,-4.343740,0.869723
0.020000,16.523150,16.420090,20.598002,9.219663,-13.443915,-8.403805,0.856153
0.020000,16.641582,16.554210,20.776928,8.946276,-13.669386,-11.273565,0.837830
0.020000,16.758997,16.681753,20.950288,8.668013,-13.913142,-12.187777,0.814668
0.020000,16.875709,16.802194,21.118001,8.385644,-14.118420,-10.263909,0.786597
0.020000,16.991964,16.915058,21.280030,8.101475,-14.208462,-4.502123,0.753586
0.020000,17.107966,17.019951,21.436424,7.819704,-14.088580,5.994092,0.715676
0.020000,17.223906,17.116591,21.587358,7.546705,-13.649932,21.932427,0.673020
0.020000,17.339995,17.204834,21.733179,7.291006,-12.784953,43.248933,0.625919
0.020000,17.456513,17.284688,21.874435,7.062814,-11.409580,68.768632,0.574851
0.020000,17.573844,17.356305,22.011896,6.873040,-9.488697,96.044191,0.520484
0.020000,17.686135,17.416750,22.139422,6.376310,-24.836497,-767.389998,0.465835
0.020000,17.793481,17.466088,22.257563,5.907054,-23.462800,68.684823,0.394675
0.020000,17.900433,17.506075,22.371746,5.709145,-9.895490,678.365504,0.320075
0.020000,18.007863,17.537193,22.483591,5.592268,-5.843829,202.583033,0.243443
0.020000,18.117018,17.559875,22.595078,5.574360,-0.895413,247.420816,0.166500
0.020000,18.229325,17.574378,22.708318,5.661953,4.379659,263.753592,0.091079
0.020000,18.346113,17.580740,22.825279,5.848069,9.305779,246.306016,0.018894
0.020000,18.468026,17.578851,22.947207,6.096389,12.416011,155.511596,6.234710
0.020000,18.594763,17.568708,23.074349,6.357130,13.037056,31.052250,6.173436
0.020000,18.725786,17.550538,23.206626,6.613833,12.835164,-10.094589,6.118816
0.020000,18.860628,17.524738,23.343914,6.864387,12.527710,-15.372723,6.070810
0.020000,18.998712,17.491846,23.485861,7.097355,11.648379,-43.966531,6.029111
0.020000,19.139424,17.452518,23.631965,7.305232,10.393840,-62.726974,5.993284
0.020000,19.282190,17.407477,23.781668,7.485121,8.994485,-69.967716,5.962842
0.020000,19.426513,17.357471,23.934409,7.637067,7.597259,-69.861297,5.937300
0.020000,19.571991,17.303241,24.089666,7.762851,6.289236,-65.401153,5.916203
0.020000,19.718314,17.245501,24.246970,7.865171,5.115963,-58.663657,5.899143
0.020000,19.865256,17.184922,24.405908,7.946937,4.088334,-51.381466,5.885763
